,train_step,reward_mean,reward_std
0,0,856.9539184570312,0.0
1,1,857.1182250976562,0.0
2,2,856.9539184570312,0.0
3,3,856.9380493164062,0.0
4,4,855.9564208984375,0.0
5,5,855.923583984375,0.0
6,6,856.8919067382812,0.0
7,7,856.745361328125,0.0
8,8,856.8034057617188,0.0
9,9,857.602294921875,0.0
10,10,857.1041259765625,0.0
11,11,857.3724365234375,0.0
12,12,856.5382690429688,0.0
13,13,857.10791015625,0.0
14,14,856.5458374023438,0.0
15,15,856.8009643554688,0.0
16,16,856.7564086914062,0.0
17,17,857.31689453125,0.0
18,18,856.9183959960938,0.0
19,19,856.8062133789062,0.0
20,20,857.1911010742188,0.0
21,21,857.1090698242188,0.0
22,22,857.2767944335938,0.0
23,23,857.0587158203125,0.0
24,24,857.4657592773438,0.0
25,25,857.12158203125,0.0
26,26,857.3724365234375,0.0
27,27,856.6475219726562,0.0
28,28,856.889892578125,0.0
29,29,856.9697265625,0.0
30,30,856.7685546875,0.0
31,31,857.1386108398438,0.0
32,32,857.3773803710938,0.0
33,33,857.1182250976562,0.0
34,34,858.6669921875,0.0
35,35,857.2066650390625,0.0
36,36,857.076904296875,0.0
37,37,856.889892578125,0.0
38,38,857.076904296875,0.0
39,39,857.06201171875,0.0
40,40,856.9697265625,0.0
41,41,856.5164184570312,0.0
42,42,857.189697265625,0.0
43,43,857.3147583007812,0.0
44,44,855.3842163085938,0.0
45,45,857.1386108398438,0.0
46,46,856.7685546875,0.0
47,47,856.4337768554688,0.0
48,48,856.7528686523438,0.0
49,49,857.1258544921875,0.0
50,50,857.0328369140625,0.0
51,51,856.6188354492188,0.0
52,52,857.3829345703125,0.0
53,53,856.6188354492188,0.0
54,54,856.524169921875,0.0
55,55,856.7676391601562,0.0
56,56,857.06201171875,0.0
57,57,857.5850830078125,0.0
58,58,855.7196655273438,0.0
59,59,857.2534790039062,0.0
60,60,856.76318359375,0.0
61,61,856.9359130859375,0.0
62,62,859.9406127929688,0.0
63,63,856.9544067382812,0.0
64,64,857.3521728515625,0.0
65,65,857.0222778320312,0.0
66,66,857.3394165039062,0.0
67,67,857.0328369140625,0.0
68,68,856.6188354492188,0.0
69,69,857.4863891601562,0.0
70,70,856.7544555664062,0.0
71,71,857.58984375,0.0
72,72,856.4515380859375,0.0
73,73,858.0721435546875,0.0
74,74,856.7528686523438,0.0
75,75,857.246337890625,0.0
76,76,857.4863891601562,0.0
77,77,856.1354370117188,0.0
78,78,857.2412719726562,0.0
79,79,856.835693359375,0.0
80,80,857.1299438476562,0.0
81,81,857.1552124023438,0.0
82,82,857.12158203125,0.0
83,83,855.0211181640625,0.0
84,84,857.246337890625,0.0
85,85,857.3829345703125,0.0
86,86,856.6502075195312,0.0
87,87,857.2518920898438,0.0
88,88,857.19189453125,0.0
89,89,856.734130859375,0.0
90,90,857.2194213867188,0.0
91,91,858.5108642578125,0.0
92,92,856.5317993164062,0.0
93,93,857.3919067382812,0.0
94,94,857.2412719726562,0.0
95,95,857.3640747070312,0.0
96,96,856.4342041015625,0.0
97,97,857.404541015625,0.0
98,98,857.12158203125,0.0
99,99,857.2958374023438,0.0
100,100,857.255615234375,0.0
101,101,856.4566650390625,0.0
102,102,856.8096313476562,0.0
103,103,857.2656860351562,0.0
104,104,857.4797973632812,0.0
105,105,856.768798828125,0.0
106,106,856.405517578125,0.0
107,107,856.7544555664062,0.0
108,108,856.708740234375,0.0
109,109,857.280517578125,0.0
110,110,856.708740234375,0.0
111,111,857.280517578125,0.0
112,112,856.6104125976562,0.0
113,113,858.4410400390625,0.0
114,114,856.6490478515625,0.0
115,115,857.189697265625,0.0
116,116,857.267578125,0.0
117,117,857.2459716796875,0.0
118,118,857.58984375,0.0
119,119,857.3640747070312,0.0
120,120,857.380615234375,0.0
121,121,857.0161743164062,0.0
122,122,857.1041259765625,0.0
123,123,855.4710693359375,0.0
124,124,857.559326171875,0.0
125,125,856.5030517578125,0.0
126,126,857.3640747070312,0.0
127,127,857.019775390625,0.0
128,128,856.7991333007812,0.0
129,129,856.7676391601562,0.0
130,130,857.3057861328125,0.0
131,131,856.6272583007812,0.0
132,132,856.9544067382812,0.0
133,133,856.8137817382812,0.0
134,134,857.1299438476562,0.0
135,135,857.3640747070312,0.0
136,136,856.5030517578125,0.0
137,137,857.280517578125,0.0
138,138,856.5030517578125,0.0
139,139,857.2958374023438,0.0
140,140,856.9126586914062,0.0
141,141,859.6156005859375,0.0
142,142,857.0352172851562,0.0
143,143,857.1299438476562,0.0
144,144,857.559326171875,0.0
145,145,855.833740234375,0.0
146,146,856.9249877929688,0.0
147,147,857.4324951171875,0.0
148,148,857.3057861328125,0.0
149,149,856.1674194335938,0.0
150,150,857.5007934570312,0.0
151,151,856.5382690429688,0.0
152,152,855.9986572265625,0.0
153,153,857.559326171875,0.0
154,154,856.4342041015625,0.0
155,155,856.6213989257812,0.0
156,156,857.17822265625,0.0
157,157,856.7991333007812,0.0
158,158,856.7413330078125,0.0
159,159,857.2066650390625,0.0
160,160,857.076904296875,0.0
161,161,857.1204833984375,0.0
162,162,856.1812133789062,0.0
163,163,856.7670288085938,0.0
164,164,857.3057861328125,0.0
165,165,856.9697265625,0.0
166,166,856.7685546875,0.0
167,167,856.9230346679688,0.0
168,168,856.5521240234375,0.0
169,169,857.169189453125,0.0
170,170,857.3829345703125,0.0
171,171,856.74072265625,0.0
172,172,857.0504150390625,0.0
173,173,857.4324951171875,0.0
174,174,857.3724365234375,0.0
175,175,856.6272583007812,0.0
176,176,857.4321899414062,0.0
177,177,856.8034057617188,0.0
178,178,857.1549072265625,0.0
179,179,857.1386108398438,0.0
180,180,856.8012084960938,0.0
181,181,857.2175903320312,0.0
182,182,857.2456665039062,0.0
183,183,856.6213989257812,0.0
184,184,857.1011962890625,0.0
185,185,857.0811767578125,0.0
186,186,857.1259155273438,0.0
187,187,857.602294921875,0.0
188,188,856.6378784179688,0.0
189,189,856.8012084960938,0.0
190,190,857.189697265625,0.0
191,191,856.6490478515625,0.0
192,192,855.6326904296875,0.0
193,193,856.463623046875,0.0
194,194,857.1549072265625,0.0
195,195,856.8034057617188,0.0
196,196,856.889892578125,0.0
197,197,857.2656860351562,0.0
198,198,857.4024658203125,0.0
199,199,857.46630859375,0.0
200,200,856.8192138671875,0.0
201,201,856.7799072265625,0.0
202,202,857.423095703125,0.0
203,203,858.96875,0.0
204,204,856.74072265625,0.0
205,205,856.8156127929688,0.0
206,206,857.2194213867188,0.0
207,207,857.6012573242188,0.0
208,208,856.7716674804688,0.0
209,209,857.4999389648438,0.0
210,210,856.7636108398438,0.0
211,211,857.1041259765625,0.0
212,212,857.6793212890625,0.0
213,213,856.7716674804688,0.0
214,214,857.6012573242188,0.0
215,215,856.7991333007812,0.0
216,216,857.302734375,0.0
217,217,857.1102905273438,0.0
218,218,857.4152221679688,0.0
219,219,856.6490478515625,0.0
220,220,856.7216796875,0.0
221,221,856.7413330078125,0.0
222,222,856.5164184570312,0.0
223,223,857.189697265625,0.0
224,224,856.6721801757812,0.0
225,225,857.1386108398438,0.0
226,226,856.9539184570312,0.0
227,227,856.774169921875,0.0
228,228,856.623046875,0.0
229,229,856.4515380859375,0.0
230,230,856.708740234375,0.0
231,231,859.0128173828125,0.0
232,232,856.5275268554688,0.0
233,233,857.319091796875,0.0
234,234,856.7544555664062,0.0
235,235,859.0150756835938,0.0
236,236,856.5275268554688,0.0
237,237,856.947998046875,0.0
238,238,857.1240234375,0.0
239,239,856.8156127929688,0.0
240,240,856.9249877929688,0.0
241,241,857.61572265625,0.0
242,242,856.9697265625,0.0
243,243,857.9484252929688,0.0
244,244,856.8034057617188,0.0
245,245,857.06201171875,0.0
246,246,857.4833374023438,0.0
247,247,856.5164184570312,0.0
248,248,857.5079345703125,0.0
249,249,857.1204833984375,0.0
250,250,856.774169921875,0.0
251,251,857.629150390625,0.0
252,252,856.6490478515625,0.0
253,253,854.8703002929688,0.0
254,254,856.5164184570312,0.0
255,255,857.5850830078125,0.0
256,256,857.4797973632812,0.0
257,257,856.9808349609375,0.0
258,258,857.4797973632812,0.0
259,259,856.8062133789062,0.0
260,260,858.703857421875,0.0
261,261,856.6490478515625,0.0
262,262,857.2534790039062,0.0
263,263,856.76318359375,0.0
264,264,857.2534790039062,0.0
265,265,856.4440307617188,0.0
266,266,857.3215942382812,0.0
267,267,857.4024658203125,0.0
268,268,856.9230346679688,0.0
269,269,856.7528686523438,0.0
270,270,856.4515380859375,0.0
271,271,858.3403930664062,0.0
272,272,856.5382690429688,0.0
273,273,857.4321899414062,0.0
274,274,856.463623046875,0.0
275,275,856.5164184570312,0.0
276,276,857.3107299804688,0.0
277,277,857.2767944335938,0.0
278,278,857.3394165039062,0.0
279,279,856.4714965820312,0.0
280,280,857.2532348632812,0.0
281,281,855.6541748046875,0.0
282,282,857.3147583007812,0.0
283,283,857.3731079101562,0.0
284,284,856.7139282226562,0.0
285,285,857.3731079101562,0.0
286,286,857.1065673828125,0.0
287,287,857.280517578125,0.0
288,288,857.17822265625,0.0
289,289,856.6542358398438,0.0
290,290,857.17822265625,0.0
291,291,857.3074951171875,0.0
292,292,857.0352172851562,0.0
293,293,857.1666870117188,0.0
294,294,856.5275268554688,0.0
295,295,856.947998046875,0.0
296,296,856.9632568359375,0.0
297,297,856.7601928710938,0.0
298,298,856.0576782226562,0.0
299,299,857.060791015625,0.0
300,300,856.7877807617188,0.0
301,301,856.8284912109375,0.0
302,302,856.5521240234375,0.0
303,303,857.5281372070312,0.0
304,304,856.405517578125,0.0
305,305,857.246337890625,0.0
306,306,857.0328369140625,0.0
307,307,857.6556396484375,0.0
308,308,856.8427124023438,0.0
309,309,856.6502075195312,0.0
310,310,858.7529296875,0.0
311,311,855.0389404296875,0.0
312,312,856.9107055664062,0.0
313,313,857.138671875,0.0
314,314,857.169189453125,0.0
315,315,856.9612426757812,0.0
316,316,857.54541015625,0.0
317,317,856.7877807617188,0.0
318,318,856.6502075195312,0.0
319,319,857.1666870117188,0.0
