[2025-03-13 07:15:05,212][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,213][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,214][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,215][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,216][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,217][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,218][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,219][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,220][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,221][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,222][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,223][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,224][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,225][__main__][INFO] - Computed throughput reward (raw): 3.41
[2025-03-13 07:15:05,226][__main__][INFO] - Computed throughput reward (raw): 3.41
[2025-03-13 07:15:05,227][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,228][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,229][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,230][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,231][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,232][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,233][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,234][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,235][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,236][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,237][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,239][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,239][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,241][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,242][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,243][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,244][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,245][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,246][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,247][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,248][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,249][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,250][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,251][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,252][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,253][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,254][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,255][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,256][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,257][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,258][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,259][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,260][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,261][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,262][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,263][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,264][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,265][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,266][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,267][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,268][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,269][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,270][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,272][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,273][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,274][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,275][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,276][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,277][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,278][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,279][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,280][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,281][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,282][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,283][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,284][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,285][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,286][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,287][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,288][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,289][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,290][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,291][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,292][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,293][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,294][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,295][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,296][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,297][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,298][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,299][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,300][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,301][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,303][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,304][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,305][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,306][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,307][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,308][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,309][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,310][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,311][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,312][__main__][INFO] - Computed throughput reward (raw): 2.35
[2025-03-13 07:15:05,313][__main__][INFO] - Computed throughput reward (raw): 2.35
[2025-03-13 07:15:05,314][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,315][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,316][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,317][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,318][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,319][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,320][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,321][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,322][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,323][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,324][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,325][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,326][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,327][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,329][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,330][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,331][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,332][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,333][__main__][INFO] - Computed throughput reward (raw): 2.75
