,train_step,reward_mean,reward_std
0,0,519857839.2241211,0.0
1,1,288930386.85595703,0.0
2,2,141353323.05981445,0.0
3,3,62458088.85595703,0.0
4,4,34948547.56201172,0.0
5,5,42478266.73144531,0.0
6,6,65094841.79785156,0.0
7,7,84542638.37304688,0.0
8,8,88854466.39355469,0.0
9,9,66293309.49511719,0.0
10,10,51197043.427734375,0.0
11,11,38940006.41796875,0.0
12,12,22026968.23388672,0.0
13,13,11171799.022460938,0.0
14,14,7455052.476074219,0.0
15,15,10631359.887695312,0.0
16,16,18104767.220703125,0.0
17,17,16575013.64453125,0.0
18,18,31855034.48046875,0.0
19,19,32248701.686523438,0.0
20,20,27491049.03857422,0.0
21,21,20094946.91748047,0.0
22,22,12623683.655761719,0.0
23,23,7088112.5732421875,0.0
24,24,4177573.416015625,0.0
25,25,3612443.13671875,0.0
26,26,4648904.0830078125,0.0
27,27,6416105.9267578125,0.0
28,28,8001397.5791015625,0.0
29,29,8594128.735351562,0.0
30,30,7785422.0205078125,0.0
31,31,5856199.833496094,0.0
32,32,3660696.5795898438,0.0
33,33,2106678.2739257812,0.0
34,34,1639514.3759765625,0.0
35,35,2085462.3291015625,0.0
36,36,2661216.1142578125,0.0
37,37,3580572.1000976562,0.0
38,38,3947303.7036132812,0.0
39,39,3650564.3920898438,0.0
40,40,2882298.302734375,0.0
41,41,2039957.2583007812,0.0
42,42,979700.3271484375,0.0
43,43,425759.498046875,0.0
44,44,632746.087890625,0.0
45,45,867167.423828125,0.0
46,46,1211596.2080078125,0.0
47,47,1428803.0678710938,0.0
48,48,1363369.5727539062,0.0
49,49,1034340.2705078125,0.0
50,50,609404.4980163574,0.0
51,51,332685.98291015625,0.0
52,52,248860.5888671875,0.0
53,53,221415.646484375,0.0
54,54,335642.4580078125,0.0
55,55,773358.7885742188,0.0
56,56,900133.0004882812,0.0
57,57,838960.1030273438,0.0
58,58,191404.27752685547,0.0
59,59,250726.5537109375,0.0
60,60,212076.91625976562,0.0
61,61,98566.27685546875,0.0
62,62,60558.38134765625,0.0
63,63,141935.5498046875,0.0
64,64,210127.49267578125,0.0
