[2025-03-12 12:21:40,157][__main__][INFO] - Iteration: 59	Episode Reward: 97.00
[2025-03-12 12:21:40,259][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0124
[2025-03-12 12:21:40,467][__main__][INFO] - Iteration: 60	Episode Reward: 101.00
[2025-03-12 12:21:40,673][__main__][INFO] - Iteration: 61	Episode Reward: 0.00
[2025-03-12 12:21:40,879][__main__][INFO] - Iteration: 62	Episode Reward: 0.00
[2025-03-12 12:21:41,085][__main__][INFO] - Iteration: 63	Episode Reward: 97.00
[2025-03-12 12:21:41,290][__main__][INFO] - Iteration: 64	Episode Reward: 0.00
[2025-03-12 12:21:41,385][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0123
[2025-03-12 12:21:41,593][__main__][INFO] - Iteration: 65	Episode Reward: 0.00
[2025-03-12 12:21:41,799][__main__][INFO] - Iteration: 66	Episode Reward: 0.00
[2025-03-12 12:21:42,004][__main__][INFO] - Iteration: 67	Episode Reward: 97.00
[2025-03-12 12:21:42,211][__main__][INFO] - Iteration: 68	Episode Reward: 0.00
[2025-03-12 12:21:42,416][__main__][INFO] - Iteration: 69	Episode Reward: 97.00
[2025-03-12 12:21:42,510][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0127
[2025-03-12 12:21:42,716][__main__][INFO] - Iteration: 70	Episode Reward: 0.00
[2025-03-12 12:21:42,922][__main__][INFO] - Iteration: 71	Episode Reward: 0.00
[2025-03-12 12:21:43,128][__main__][INFO] - Iteration: 72	Episode Reward: 97.00
[2025-03-12 12:21:43,334][__main__][INFO] - Iteration: 73	Episode Reward: 0.00
[2025-03-12 12:21:43,540][__main__][INFO] - Iteration: 74	Episode Reward: 97.00
[2025-03-12 12:21:43,627][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0128
[2025-03-12 12:21:43,903][__main__][INFO] - Iteration: 75	Episode Reward: 0.00
[2025-03-12 12:21:44,109][__main__][INFO] - Iteration: 76	Episode Reward: 97.00
[2025-03-12 12:21:44,315][__main__][INFO] - Iteration: 77	Episode Reward: 0.00
[2025-03-12 12:21:44,522][__main__][INFO] - Iteration: 78	Episode Reward: 97.00
[2025-03-12 12:21:44,727][__main__][INFO] - Iteration: 79	Episode Reward: 0.00
[2025-03-12 12:21:44,821][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0127
[2025-03-12 12:21:45,029][__main__][INFO] - Iteration: 80	Episode Reward: 97.00
[2025-03-12 12:21:45,235][__main__][INFO] - Iteration: 81	Episode Reward: 0.00
[2025-03-12 12:21:45,441][__main__][INFO] - Iteration: 82	Episode Reward: 97.00
[2025-03-12 12:21:45,649][__main__][INFO] - Iteration: 83	Episode Reward: 0.00
[2025-03-12 12:21:45,855][__main__][INFO] - Iteration: 84	Episode Reward: 0.00
[2025-03-12 12:21:45,947][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0127
[2025-03-12 12:21:46,154][__main__][INFO] - Iteration: 85	Episode Reward: 97.00
[2025-03-12 12:21:46,360][__main__][INFO] - Iteration: 86	Episode Reward: 97.00
[2025-03-12 12:21:46,567][__main__][INFO] - Iteration: 87	Episode Reward: 0.00
[2025-03-12 12:21:46,773][__main__][INFO] - Iteration: 88	Episode Reward: 0.00
[2025-03-12 12:21:46,979][__main__][INFO] - Iteration: 89	Episode Reward: 0.00
[2025-03-12 12:21:47,072][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0127
[2025-03-12 12:21:47,279][__main__][INFO] - Iteration: 90	Episode Reward: 0.00
[2025-03-12 12:21:47,484][__main__][INFO] - Iteration: 91	Episode Reward: 101.00
[2025-03-12 12:21:47,690][__main__][INFO] - Iteration: 92	Episode Reward: 0.00
[2025-03-12 12:21:47,897][__main__][INFO] - Iteration: 93	Episode Reward: 0.00
[2025-03-12 12:21:48,103][__main__][INFO] - Iteration: 94	Episode Reward: 97.00
[2025-03-12 12:21:48,199][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0123
[2025-03-12 12:21:48,407][__main__][INFO] - Iteration: 95	Episode Reward: 97.00
[2025-03-12 12:21:48,613][__main__][INFO] - Iteration: 96	Episode Reward: 0.00
[2025-03-12 12:21:48,819][__main__][INFO] - Iteration: 97	Episode Reward: 0.00
[2025-03-12 12:21:49,025][__main__][INFO] - Iteration: 98	Episode Reward: 97.00
[2025-03-12 12:21:49,231][__main__][INFO] - Iteration: 99	Episode Reward: 0.00
[2025-03-12 12:21:49,323][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0127
[2025-03-12 12:21:49,529][__main__][INFO] - Iteration: 100	Episode Reward: 101.00
[2025-03-12 12:21:49,735][__main__][INFO] - Iteration: 101	Episode Reward: 0.00
[2025-03-12 12:21:49,940][__main__][INFO] - Iteration: 102	Episode Reward: 0.00
[2025-03-12 12:21:50,146][__main__][INFO] - Iteration: 103	Episode Reward: 97.00
[2025-03-12 12:21:50,353][__main__][INFO] - Iteration: 104	Episode Reward: 0.00
[2025-03-12 12:21:50,445][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0123
[2025-03-12 12:21:50,652][__main__][INFO] - Iteration: 105	Episode Reward: 0.00
[2025-03-12 12:21:50,858][__main__][INFO] - Iteration: 106	Episode Reward: 0.00
[2025-03-12 12:21:51,064][__main__][INFO] - Iteration: 107	Episode Reward: 97.00
[2025-03-12 12:21:51,270][__main__][INFO] - Iteration: 108	Episode Reward: 0.00
[2025-03-12 12:21:51,476][__main__][INFO] - Iteration: 109	Episode Reward: 101.00
[2025-03-12 12:21:51,568][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0123
[2025-03-12 12:21:51,776][__main__][INFO] - Iteration: 110	Episode Reward: 0.00
[2025-03-12 12:21:51,983][__main__][INFO] - Iteration: 111	Episode Reward: 0.00
[2025-03-12 12:21:52,188][__main__][INFO] - Iteration: 112	Episode Reward: 97.00
[2025-03-12 12:21:52,394][__main__][INFO] - Iteration: 113	Episode Reward: 97.00
[2025-03-12 12:21:52,601][__main__][INFO] - Iteration: 114	Episode Reward: 0.00
[2025-03-12 12:21:52,694][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0155
[2025-03-12 12:21:52,901][__main__][INFO] - Iteration: 115	Episode Reward: 0.00
