,train_step,reward_mean,reward_std
0,0,856.6607666015625,0.0
1,1,857.133544921875,0.0
2,2,857.118408203125,0.0
3,3,856.9482421875,0.0
4,4,857.5573120117188,0.0
5,5,858.3046875,0.0
6,6,857.3099365234375,0.0
7,7,856.9022827148438,0.0
8,8,856.8305053710938,0.0
9,9,857.4589233398438,0.0
10,10,856.8287963867188,0.0
11,11,857.0103759765625,0.0
12,12,857.539794921875,0.0
13,13,857.3006591796875,0.0
14,14,857.1332397460938,0.0
15,15,856.7920532226562,0.0
16,16,857.2758178710938,0.0
17,17,856.559326171875,0.0
18,18,857.1920776367188,0.0
19,19,857.2976684570312,0.0
