,train_step,reward_mean,reward_std
0,0,245767.0,0.0
1,1,249059.0,0.0
2,2,248634.0,0.0
3,3,245752.0,0.0
4,4,249622.0,0.0
5,5,251826.0,0.0
6,6,242679.0,0.0
7,7,250913.0,0.0
8,8,250751.0,0.0
9,9,246640.0,0.0
10,10,250664.0,0.0
11,11,248103.0,0.0
12,12,244573.0,0.0
13,13,250340.0,0.0
14,14,249490.0,0.0
15,15,248243.0,0.0
16,16,248458.0,0.0
17,17,251495.0,0.0
18,18,245867.0,0.0
19,19,251408.0,0.0
20,20,248698.0,0.0
21,21,248315.0,0.0
22,22,250708.0,0.0
23,23,248908.0,0.0
24,24,246085.0,0.0
25,25,249807.0,0.0
26,26,251972.0,0.0
27,27,245790.0,0.0
28,28,249447.0,0.0
29,29,248742.0,0.0
30,30,248315.0,0.0
31,31,250608.0,0.0
32,32,248210.0,0.0
33,33,246056.0,0.0
34,34,249648.0,0.0
35,35,249595.0,0.0
36,36,247304.0,0.0
37,37,248280.0,0.0
38,38,250648.0,0.0
39,39,243971.0,0.0
40,40,250290.0,0.0
41,41,247996.0,0.0
42,42,246932.0,0.0
43,43,249781.0,0.0
44,44,247318.0,0.0
45,45,245347.0,0.0
46,46,249688.0,0.0
47,47,250894.0,0.0
48,48,245884.0,0.0
49,49,249334.0,0.0
50,50,250549.0,0.0
51,51,246835.0,0.0
52,52,249200.0,0.0
53,53,249355.0,0.0
54,54,245958.0,0.0
55,55,249441.0,0.0
56,56,248678.0,0.0
57,57,246452.0,0.0
58,58,250236.0,0.0
59,59,250753.0,0.0
60,60,244605.0,0.0
61,61,250534.0,0.0
62,62,248132.0,0.0
63,63,251312.0,0.0
64,64,249115.0,0.0
65,65,245921.0,0.0
66,66,246252.0,0.0
67,67,250429.0,0.0
68,68,251851.0,0.0
69,69,245702.0,0.0
70,70,250330.0,0.0
71,71,248333.0,0.0
72,72,247364.0,0.0
73,73,251949.0,0.0
74,74,248461.0,0.0
75,75,246478.0,0.0
76,76,251380.0,0.0
77,77,247303.0,0.0
78,78,247983.0,0.0
79,79,251039.0,0.0
80,80,250854.0,0.0
81,81,244077.0,0.0
82,82,254454.0,0.0
83,83,248453.0,0.0
84,84,247284.0,0.0
85,85,251384.0,0.0
86,86,246287.0,0.0
87,87,246168.0,0.0
88,88,250156.0,0.0
89,89,250396.0,0.0
90,90,246851.0,0.0
91,91,248380.0,0.0
92,92,248995.0,0.0
93,93,247012.0,0.0
94,94,250394.0,0.0
95,95,247397.0,0.0
96,96,245440.0,0.0
97,97,251983.0,0.0
98,98,246877.0,0.0
99,99,247390.0,0.0
100,100,249509.0,0.0
101,101,250373.0,0.0
102,102,244105.0,0.0
103,103,251539.0,0.0
104,104,246158.0,0.0
105,105,246968.0,0.0
106,106,251394.0,0.0
107,107,246488.0,0.0
108,108,244560.0,0.0
109,109,251571.0,0.0
110,110,250169.0,0.0
111,111,244255.0,0.0
112,112,249326.0,0.0
113,113,248057.0,0.0
114,114,246821.0,0.0
115,115,252730.0,0.0
116,116,246143.0,0.0
117,117,245976.0,0.0
118,118,250127.0,0.0
119,119,248162.0,0.0
120,120,245773.0,0.0
121,121,248618.0,0.0
122,122,248446.0,0.0
123,123,243767.0,0.0
124,124,251108.0,0.0
125,125,247066.0,0.0
126,126,247886.0,0.0
127,127,251559.0,0.0
128,128,244785.0,0.0
129,129,245801.0,0.0
130,130,249490.0,0.0
131,131,251702.0,0.0
132,132,243303.0,0.0
133,133,249923.0,0.0
134,134,247892.0,0.0
135,135,248348.0,0.0
136,136,250459.0,0.0
137,137,248144.0,0.0
138,138,246153.0,0.0
139,139,251574.0,0.0
140,140,245647.0,0.0
141,141,246356.0,0.0
142,142,250583.0,0.0
143,143,249648.0,0.0
144,144,245113.0,0.0
145,145,251480.0,0.0
146,146,247333.0,0.0
147,147,245446.0,0.0
148,148,253311.0,0.0
149,149,245607.0,0.0
150,150,246377.0,0.0
151,151,250658.0,0.0
152,152,249886.0,0.0
153,153,244952.0,0.0
154,154,250468.0,0.0
155,155,247770.0,0.0
156,156,248228.0,0.0
157,157,251786.0,0.0
158,158,247576.0,0.0
159,159,246728.0,0.0
160,160,252241.0,0.0
161,161,247588.0,0.0
162,162,247127.0,0.0
163,163,251233.0,0.0
164,164,250153.0,0.0
165,165,244865.0,0.0
166,166,253579.0,0.0
167,167,248656.0,0.0
168,168,247762.0,0.0
169,169,251869.0,0.0
170,170,247942.0,0.0
171,171,246832.0,0.0
172,172,251418.0,0.0
173,173,249907.0,0.0
174,174,245389.0,0.0
175,175,251275.0,0.0
176,176,249741.0,0.0
177,177,247284.0,0.0
178,178,251283.0,0.0
179,179,247334.0,0.0
180,180,246789.0,0.0
181,181,252436.0,0.0
182,182,247079.0,0.0
183,183,246286.0,0.0
184,184,250119.0,0.0
185,185,251322.0,0.0
186,186,245159.0,0.0
187,187,252139.0,0.0
188,188,247542.0,0.0
189,189,247895.0,0.0
190,190,252462.0,0.0
191,191,247075.0,0.0
192,192,247443.0,0.0
193,193,251567.0,0.0
194,194,251403.0,0.0
195,195,246418.0,0.0
196,196,250978.0,0.0
197,197,247167.0,0.0
198,198,246292.0,0.0
199,199,251899.0,0.0
200,200,247046.0,0.0
201,201,245919.0,0.0
202,202,252129.0,0.0
203,203,247999.0,0.0
204,204,245449.0,0.0
205,205,250929.0,0.0
206,206,251005.0,0.0
207,207,245521.0,0.0
208,208,251793.0,0.0
209,209,248333.0,0.0
210,210,248737.0,0.0
211,211,251670.0,0.0
212,212,247241.0,0.0
213,213,247738.0,0.0
214,214,250759.0,0.0
215,215,251313.0,0.0
216,216,245615.0,0.0
217,217,251500.0,0.0
218,218,246059.0,0.0
219,219,249455.0,0.0
220,220,251485.0,0.0
221,221,245842.0,0.0
222,222,247983.0,0.0
223,223,251489.0,0.0
224,224,246480.0,0.0
225,225,248909.0,0.0
226,226,252577.0,0.0
227,227,248189.0,0.0
228,228,246984.0,0.0
229,229,252060.0,0.0
230,230,246619.0,0.0
231,231,248549.0,0.0
232,232,252060.0,0.0
233,233,246078.0,0.0
234,234,247281.0,0.0
235,235,252260.0,0.0
236,236,247942.0,0.0
237,237,247355.0,0.0
238,238,250046.0,0.0
239,239,245821.0,0.0
240,240,248814.0,0.0
241,241,252458.0,0.0
242,242,245533.0,0.0
243,243,248293.0,0.0
244,244,251512.0,0.0
245,245,245941.0,0.0
246,246,248663.0,0.0
247,247,250952.0,0.0
248,248,248395.0,0.0
249,249,250255.0,0.0
250,250,250530.0,0.0
251,251,242321.0,0.0
252,252,248272.0,0.0
253,253,248230.0,0.0
254,254,245421.0,0.0
255,255,248377.0,0.0
256,256,249256.0,0.0
257,257,248635.0,0.0
258,258,246168.0,0.0
259,259,251221.0,0.0
260,260,245462.0,0.0
261,261,249964.0,0.0
262,262,251530.0,0.0
263,263,245707.0,0.0
264,264,248114.0,0.0
265,265,252287.0,0.0
266,266,246405.0,0.0
267,267,248513.0,0.0
268,268,249060.0,0.0
269,269,247520.0,0.0
270,270,247701.0,0.0
271,271,253636.0,0.0
272,272,246198.0,0.0
273,273,248543.0,0.0
274,274,251285.0,0.0
275,275,246055.0,0.0
276,276,248456.0,0.0
277,277,250329.0,0.0
278,278,248698.0,0.0
279,279,247388.0,0.0
280,280,250083.0,0.0
281,281,246182.0,0.0
282,282,250429.0,0.0
283,283,252743.0,0.0
284,284,250116.0,0.0
285,285,246820.0,0.0
286,286,251416.0,0.0
287,287,245478.0,0.0
288,288,248814.0,0.0
289,289,248844.0,0.0
290,290,246733.0,0.0
291,291,248209.0,0.0
292,292,251640.0,0.0
293,293,245406.0,0.0
294,294,249527.0,0.0
295,295,250544.0,0.0
296,296,243961.0,0.0
297,297,248846.0,0.0
298,298,251368.0,0.0
299,299,248195.0,0.0
300,300,247136.0,0.0
301,301,248937.0,0.0
302,302,246083.0,0.0
303,303,249947.0,0.0
304,304,249669.0,0.0
305,305,246876.0,0.0
306,306,248968.0,0.0
307,307,251082.0,0.0
308,308,245599.0,0.0
309,309,248595.0,0.0
310,310,249861.0,0.0
311,311,247788.0,0.0
312,312,247401.0,0.0
313,313,253123.0,0.0
314,314,246172.0,0.0
315,315,248667.0,0.0
316,316,250432.0,0.0
317,317,244958.0,0.0
318,318,250018.0,0.0
319,319,250184.0,0.0
320,320,247947.0,0.0
321,321,247371.0,0.0
322,322,250352.0,0.0
323,323,244134.0,0.0
324,324,252001.0,0.0
325,325,249582.0,0.0
326,326,245488.0,0.0
327,327,249512.0,0.0
328,328,250249.0,0.0
329,329,245837.0,0.0
330,330,249085.0,0.0
331,331,249998.0,0.0
332,332,246507.0,0.0
333,333,245783.0,0.0
334,334,252704.0,0.0
335,335,244471.0,0.0
336,336,249763.0,0.0
337,337,251418.0,0.0
338,338,244139.0,0.0
339,339,250421.0,0.0
340,340,249176.0,0.0
341,341,248434.0,0.0
342,342,246227.0,0.0
343,343,249894.0,0.0
344,344,243973.0,0.0
345,345,250058.0,0.0
346,346,248784.0,0.0
347,347,245585.0,0.0
348,348,247816.0,0.0
349,349,252154.0,0.0
350,350,244471.0,0.0
351,351,248320.0,0.0
352,352,249227.0,0.0
353,353,247549.0,0.0
354,354,248649.0,0.0
355,355,251923.0,0.0
356,356,245692.0,0.0
357,357,248032.0,0.0
358,358,250467.0,0.0
359,359,244213.0,0.0
360,360,248544.0,0.0
361,361,251761.0,0.0
362,362,248946.0,0.0
363,363,246122.0,0.0
364,364,252557.0,0.0
365,365,243935.0,0.0
366,366,249642.0,0.0
367,367,250767.0,0.0
368,368,245037.0,0.0
369,369,247242.0,0.0
370,370,251226.0,0.0
371,371,245512.0,0.0
372,372,248890.0,0.0
373,373,250390.0,0.0
374,374,247904.0,0.0
375,375,248077.0,0.0
376,376,254302.0,0.0
377,377,245579.0,0.0
378,378,249911.0,0.0
379,379,251878.0,0.0
380,380,243692.0,0.0
381,381,248372.0,0.0
382,382,249837.0,0.0
383,383,248744.0,0.0
384,384,246009.0,0.0
385,385,250463.0,0.0
386,386,244025.0,0.0
387,387,250986.0,0.0
388,388,250724.0,0.0
389,389,246007.0,0.0
390,390,249091.0,0.0
391,391,252478.0,0.0
392,392,245488.0,0.0
393,393,249743.0,0.0
394,394,249561.0,0.0
395,395,248619.0,0.0
396,396,247485.0,0.0
397,397,251985.0,0.0
398,398,243882.0,0.0
399,399,249624.0,0.0
400,400,249692.0,0.0
401,401,245078.0,0.0
402,402,250117.0,0.0
403,403,250253.0,0.0
404,404,249396.0,0.0
405,405,245851.0,0.0
406,406,250954.0,0.0
407,407,246067.0,0.0
408,408,250845.0,0.0
409,409,250275.0,0.0
410,410,246059.0,0.0
411,411,248942.0,0.0
412,412,251556.0,0.0
413,413,245961.0,0.0
414,414,248880.0,0.0
415,415,249779.0,0.0
416,416,247591.0,0.0
417,417,248909.0,0.0
418,418,252213.0,0.0
419,419,244926.0,0.0
420,420,250793.0,0.0
421,421,250107.0,0.0
422,422,245276.0,0.0
423,423,250810.0,0.0
424,424,246157.0,0.0
425,425,251475.0,0.0
426,426,248987.0,0.0
427,427,245592.0,0.0
428,428,246954.0,0.0
429,429,257546.0,0.0
430,430,243669.0,0.0
431,431,248383.0,0.0
432,432,249984.0,0.0
433,433,246168.0,0.0
434,434,249203.0,0.0
435,435,251238.0,0.0
436,436,245756.0,0.0
437,437,249677.0,0.0
438,438,251166.0,0.0
439,439,246458.0,0.0
440,440,246685.0,0.0
441,441,251864.0,0.0
442,442,246041.0,0.0
443,443,248909.0,0.0
444,444,250551.0,0.0
445,445,247844.0,0.0
446,446,250785.0,0.0
447,447,249113.0,0.0
448,448,246571.0,0.0
449,449,248359.0,0.0
450,450,253075.0,0.0
451,451,246380.0,0.0
452,452,249314.0,0.0
453,453,251404.0,0.0
454,454,245987.0,0.0
455,455,248778.0,0.0
456,456,250413.0,0.0
457,457,245219.0,0.0
458,458,248938.0,0.0
459,459,251553.0,0.0
460,460,246473.0,0.0
461,461,249685.0,0.0
462,462,251983.0,0.0
463,463,247678.0,0.0
464,464,247455.0,0.0
465,465,251197.0,0.0
466,466,246855.0,0.0
467,467,252233.0,0.0
468,468,247682.0,0.0
469,469,246438.0,0.0
470,470,248112.0,0.0
471,471,252412.0,0.0
472,472,245641.0,0.0
473,473,248298.0,0.0
474,474,251888.0,0.0
475,475,246946.0,0.0
476,476,248636.0,0.0
477,477,251142.0,0.0
478,478,246053.0,0.0
479,479,249844.0,0.0
480,480,250414.0,0.0
481,481,247131.0,0.0
482,482,247531.0,0.0
483,483,252992.0,0.0
484,484,246290.0,0.0
485,485,248291.0,0.0
486,486,250284.0,0.0
487,487,245814.0,0.0
488,488,251011.0,0.0
489,489,249366.0,0.0
490,490,246256.0,0.0
491,491,247787.0,0.0
492,492,253606.0,0.0
493,493,246330.0,0.0
494,494,247738.0,0.0
495,495,251530.0,0.0
496,496,245778.0,0.0
497,497,249312.0,0.0
498,498,250779.0,0.0
499,499,246156.0,0.0
500,500,250496.0,0.0
501,501,249932.0,0.0
502,502,247677.0,0.0
503,503,248147.0,0.0
504,504,250507.0,0.0
505,505,247442.0,0.0
506,506,246507.0,0.0
507,507,252928.0,0.0
508,508,245340.0,0.0
509,509,252610.0,0.0
510,510,248256.0,0.0
511,511,245357.0,0.0
512,512,246938.0,0.0
513,513,253545.0,0.0
514,514,246573.0,0.0
515,515,247777.0,0.0
516,516,250172.0,0.0
517,517,247237.0,0.0
518,518,248327.0,0.0
519,519,251222.0,0.0
520,520,245993.0,0.0
521,521,249520.0,0.0
522,522,251339.0,0.0
523,523,245830.0,0.0
524,524,248752.0,0.0
525,525,251330.0,0.0
526,526,247129.0,0.0
527,527,248171.0,0.0
528,528,250415.0,0.0
529,529,251789.0,0.0
530,530,249979.0,0.0
531,531,248167.0,0.0
532,532,245824.0,0.0
533,533,249338.0,0.0
534,534,250490.0,0.0
535,535,246542.0,0.0
536,536,249424.0,0.0
537,537,249205.0,0.0
538,538,247413.0,0.0
539,539,250651.0,0.0
540,540,250005.0,0.0
541,541,246300.0,0.0
542,542,250887.0,0.0
543,543,248521.0,0.0
544,544,247599.0,0.0
545,545,251444.0,0.0
546,546,248738.0,0.0
547,547,246275.0,0.0
548,548,249660.0,0.0
549,549,252544.0,0.0
550,550,246266.0,0.0
551,551,252928.0,0.0
552,552,247574.0,0.0
553,553,247650.0,0.0
554,554,249438.0,0.0
555,555,251895.0,0.0
556,556,246499.0,0.0
557,557,250580.0,0.0
558,558,249339.0,0.0
559,559,246162.0,0.0
560,560,251585.0,0.0
561,561,249329.0,0.0
562,562,248125.0,0.0
563,563,250681.0,0.0
564,564,249457.0,0.0
565,565,247255.0,0.0
566,566,250138.0,0.0
567,567,248231.0,0.0
568,568,247076.0,0.0
569,569,249211.0,0.0
570,570,250959.0,0.0
571,571,245237.0,0.0
572,572,252793.0,0.0
573,573,247050.0,0.0
574,574,246444.0,0.0
575,575,250652.0,0.0
576,576,251758.0,0.0
577,577,251109.0,0.0
578,578,247471.0,0.0
579,579,246650.0,0.0
580,580,246143.0,0.0
581,581,251443.0,0.0
582,582,246901.0,0.0
583,583,244905.0,0.0
584,584,251374.0,0.0
585,585,247444.0,0.0
586,586,245342.0,0.0
587,587,249316.0,0.0
588,588,248828.0,0.0
589,589,245733.0,0.0
590,590,248425.0,0.0
591,591,249108.0,0.0
592,592,244964.0,0.0
593,593,253669.0,0.0
594,594,244740.0,0.0
595,595,245209.0,0.0
596,596,252231.0,0.0
597,597,249449.0,0.0
598,598,245560.0,0.0
599,599,250208.0,0.0
600,600,247031.0,0.0
601,601,246309.0,0.0
602,602,250240.0,0.0
603,603,249519.0,0.0
604,604,246375.0,0.0
605,605,250493.0,0.0
606,606,248316.0,0.0
607,607,246587.0,0.0
608,608,250614.0,0.0
609,609,247175.0,0.0
610,610,246686.0,0.0
611,611,248958.0,0.0
612,612,250058.0,0.0
613,613,246359.0,0.0
614,614,252098.0,0.0
615,615,245522.0,0.0
616,616,245783.0,0.0
617,617,250081.0,0.0
618,618,251131.0,0.0
619,619,246421.0,0.0
620,620,249845.0,0.0
621,621,246979.0,0.0
622,622,244938.0,0.0
623,623,251788.0,0.0
624,624,248389.0,0.0
625,625,245771.0,0.0
626,626,252760.0,0.0
627,627,247428.0,0.0
628,628,245923.0,0.0
629,629,251161.0,0.0
630,630,247455.0,0.0
631,631,245615.0,0.0
632,632,250170.0,0.0
633,633,250544.0,0.0
634,634,246394.0,0.0
635,635,251457.0,0.0
636,636,246434.0,0.0
637,637,245520.0,0.0
638,638,251378.0,0.0
639,639,250549.0,0.0
640,640,245903.0,0.0
641,641,249560.0,0.0
642,642,248186.0,0.0
643,643,245592.0,0.0
644,644,252577.0,0.0
645,645,246721.0,0.0
646,646,246446.0,0.0
647,647,251888.0,0.0
648,648,248710.0,0.0
649,649,246187.0,0.0
650,650,254888.0,0.0
651,651,245211.0,0.0
652,652,246554.0,0.0
653,653,250971.0,0.0
654,654,248367.0,0.0
655,655,246523.0,0.0
656,656,252504.0,0.0
657,657,245113.0,0.0
658,658,247289.0,0.0
659,659,249848.0,0.0
660,660,250228.0,0.0
661,661,245943.0,0.0
662,662,250621.0,0.0
663,663,247891.0,0.0
664,664,246099.0,0.0
665,665,252384.0,0.0
666,666,246667.0,0.0
667,667,247196.0,0.0
668,668,251555.0,0.0
669,669,247441.0,0.0
670,670,245760.0,0.0
671,671,250322.0,0.0
672,672,248046.0,0.0
673,673,246884.0,0.0
674,674,257095.0,0.0
675,675,244647.0,0.0
676,676,245917.0,0.0
677,677,254184.0,0.0
678,678,246483.0,0.0
679,679,246883.0,0.0
680,680,251305.0,0.0
681,681,249028.0,0.0
682,682,247384.0,0.0
683,683,252012.0,0.0
684,684,247135.0,0.0
685,685,246694.0,0.0
686,686,252482.0,0.0
687,687,247511.0,0.0
688,688,247271.0,0.0
689,689,251926.0,0.0
690,690,248639.0,0.0
691,691,247641.0,0.0
692,692,250173.0,0.0
693,693,248014.0,0.0
694,694,246755.0,0.0
695,695,250934.0,0.0
696,696,248291.0,0.0
697,697,247734.0,0.0
698,698,251382.0,0.0
699,699,246277.0,0.0
700,700,244504.0,0.0
701,701,251045.0,0.0
702,702,248576.0,0.0
703,703,247439.0,0.0
704,704,250096.0,0.0
705,705,248337.0,0.0
706,706,248484.0,0.0
707,707,251670.0,0.0
708,708,248058.0,0.0
709,709,248159.0,0.0
710,710,253919.0,0.0
711,711,246328.0,0.0
712,712,246548.0,0.0
713,713,253040.0,0.0
714,714,247665.0,0.0
715,715,248232.0,0.0
716,716,250788.0,0.0
717,717,248542.0,0.0
718,718,246815.0,0.0
719,719,253696.0,0.0
720,720,246150.0,0.0
721,721,246381.0,0.0
722,722,250717.0,0.0
723,723,249419.0,0.0
724,724,247575.0,0.0
725,725,250855.0,0.0
726,726,248262.0,0.0
727,727,246969.0,0.0
728,728,251650.0,0.0
729,729,246622.0,0.0
730,730,248268.0,0.0
731,731,251494.0,0.0
732,732,247844.0,0.0
733,733,246935.0,0.0
734,734,250913.0,0.0
735,735,247840.0,0.0
736,736,248507.0,0.0
737,737,250694.0,0.0
738,738,248744.0,0.0
739,739,246047.0,0.0
740,740,254450.0,0.0
741,741,245055.0,0.0
742,742,246099.0,0.0
743,743,249964.0,0.0
744,744,249547.0,0.0
745,745,246851.0,0.0
746,746,251666.0,0.0
747,747,247342.0,0.0
748,748,245690.0,0.0
749,749,251111.0,0.0
750,750,246890.0,0.0
751,751,247836.0,0.0
752,752,256409.0,0.0
753,753,243502.0,0.0
754,754,247694.0,0.0
755,755,251721.0,0.0
756,756,247284.0,0.0
757,757,248639.0,0.0
758,758,249633.0,0.0
759,759,247573.0,0.0
760,760,248176.0,0.0
761,761,254814.0,0.0
762,762,244483.0,0.0
763,763,247797.0,0.0
764,764,250383.0,0.0
765,765,248716.0,0.0
766,766,249078.0,0.0
767,767,250004.0,0.0
768,768,247319.0,0.0
769,769,247458.0,0.0
770,770,252751.0,0.0
771,771,247139.0,0.0
772,772,247072.0,0.0
773,773,252851.0,0.0
774,774,246870.0,0.0
775,775,247464.0,0.0
776,776,250946.0,0.0
777,777,248158.0,0.0
778,778,246631.0,0.0
779,779,250504.0,0.0
780,780,247892.0,0.0
781,781,247752.0,0.0
782,782,252248.0,0.0
783,783,245391.0,0.0
784,784,247481.0,0.0
785,785,251835.0,0.0
786,786,249411.0,0.0
787,787,247060.0,0.0
788,788,250359.0,0.0
789,789,246750.0,0.0
790,790,247289.0,0.0
791,791,251270.0,0.0
792,792,246647.0,0.0
793,793,248049.0,0.0
794,794,251668.0,0.0
795,795,246764.0,0.0
796,796,247368.0,0.0
797,797,251635.0,0.0
798,798,246426.0,0.0
799,799,246576.0,0.0
800,800,251217.0,0.0
801,801,247776.0,0.0
802,802,248520.0,0.0
803,803,253672.0,0.0
804,804,244489.0,0.0
805,805,246507.0,0.0
806,806,250843.0,0.0
807,807,249211.0,0.0
808,808,248416.0,0.0
809,809,250028.0,0.0
810,810,247484.0,0.0
811,811,247229.0,0.0
812,812,252708.0,0.0
813,813,244717.0,0.0
814,814,248710.0,0.0
815,815,252687.0,0.0
816,816,246747.0,0.0
817,817,247517.0,0.0
818,818,251154.0,0.0
819,819,246753.0,0.0
820,820,247960.0,0.0
821,821,249056.0,0.0
822,822,248019.0,0.0
823,823,247894.0,0.0
824,824,253618.0,0.0
825,825,243952.0,0.0
826,826,246961.0,0.0
827,827,250971.0,0.0
828,828,248679.0,0.0
829,829,247796.0,0.0
830,830,250988.0,0.0
831,831,247343.0,0.0
832,832,247474.0,0.0
833,833,256066.0,0.0
834,834,244544.0,0.0
835,835,249092.0,0.0
836,836,252936.0,0.0
837,837,248943.0,0.0
838,838,249660.0,0.0
839,839,253770.0,0.0
840,840,249323.0,0.0
841,841,250717.0,0.0
842,842,253752.0,0.0
843,843,247301.0,0.0
844,844,248414.0,0.0
845,845,252148.0,0.0
846,846,245060.0,0.0
847,847,248693.0,0.0
848,848,251851.0,0.0
849,849,248612.0,0.0
850,850,249006.0,0.0
851,851,249039.0,0.0
852,852,247199.0,0.0
853,853,248225.0,0.0
854,854,252014.0,0.0
855,855,245697.0,0.0
856,856,248164.0,0.0
857,857,251207.0,0.0
858,858,247834.0,0.0
859,859,248847.0,0.0
860,860,249297.0,0.0
861,861,247107.0,0.0
862,862,247366.0,0.0
863,863,249058.0,0.0
864,864,246540.0,0.0
865,865,248809.0,0.0
866,866,252818.0,0.0
867,867,244284.0,0.0
868,868,247369.0,0.0
869,869,250355.0,0.0
870,870,248933.0,0.0
871,871,248115.0,0.0
872,872,249865.0,0.0
873,873,246751.0,0.0
874,874,248453.0,0.0
875,875,251956.0,0.0
876,876,245833.0,0.0
877,877,249021.0,0.0
878,878,252037.0,0.0
879,879,245497.0,0.0
880,880,248845.0,0.0
881,881,249411.0,0.0
882,882,248289.0,0.0
883,883,247094.0,0.0
884,884,251883.0,0.0
885,885,247036.0,0.0
886,886,248492.0,0.0
887,887,252248.0,0.0
888,888,245339.0,0.0
889,889,247744.0,0.0
890,890,251185.0,0.0
891,891,248468.0,0.0
892,892,248750.0,0.0
893,893,250517.0,0.0
894,894,245861.0,0.0
895,895,251142.0,0.0
896,896,249667.0,0.0
897,897,245168.0,0.0
898,898,251874.0,0.0
899,899,251311.0,0.0
900,900,245983.0,0.0
901,901,250869.0,0.0
902,902,248914.0,0.0
903,903,248811.0,0.0
904,904,248942.0,0.0
905,905,249662.0,0.0
906,906,247212.0,0.0
907,907,249824.0,0.0
908,908,250453.0,0.0
909,909,245575.0,0.0
910,910,251543.0,0.0
911,911,247112.0,0.0
912,912,248453.0,0.0
913,913,253409.0,0.0
914,914,245205.0,0.0
915,915,246290.0,0.0
916,916,252147.0,0.0
917,917,249173.0,0.0
918,918,246864.0,0.0
919,919,250561.0,0.0
920,920,248754.0,0.0
921,921,245611.0,0.0
922,922,252450.0,0.0
923,923,244755.0,0.0
924,924,248457.0,0.0
925,925,251046.0,0.0
926,926,246575.0,0.0
927,927,246484.0,0.0
928,928,251838.0,0.0
929,929,248092.0,0.0
930,930,245600.0,0.0
931,931,252566.0,0.0
932,932,248971.0,0.0
933,933,248323.0,0.0
934,934,251794.0,0.0
935,935,244441.0,0.0
936,936,248912.0,0.0
937,937,253340.0,0.0
938,938,248788.0,0.0
939,939,244939.0,0.0
940,940,252300.0,0.0
941,941,246795.0,0.0
942,942,247147.0,0.0
943,943,251542.0,0.0
944,944,247332.0,0.0
945,945,248400.0,0.0
946,946,250720.0,0.0
947,947,247421.0,0.0
948,948,248694.0,0.0
949,949,251208.0,0.0
950,950,246161.0,0.0
951,951,248546.0,0.0
952,952,250747.0,0.0
953,953,247181.0,0.0
954,954,251668.0,0.0
955,955,248569.0,0.0
956,956,244723.0,0.0
957,957,250307.0,0.0
958,958,250430.0,0.0
959,959,246910.0,0.0
960,960,249626.0,0.0
961,961,248806.0,0.0
962,962,246545.0,0.0
963,963,249206.0,0.0
964,964,251134.0,0.0
965,965,246114.0,0.0
966,966,251675.0,0.0
967,967,249534.0,0.0
968,968,247960.0,0.0
969,969,250248.0,0.0
970,970,250656.0,0.0
971,971,246637.0,0.0
972,972,248955.0,0.0
973,973,250435.0,0.0
974,974,247520.0,0.0
975,975,250512.0,0.0
976,976,252045.0,0.0
977,977,245364.0,0.0
978,978,249704.0,0.0
979,979,249850.0,0.0
980,980,248434.0,0.0
981,981,249244.0,0.0
982,982,250711.0,0.0
983,983,246552.0,0.0
984,984,248949.0,0.0
985,985,250237.0,0.0
986,986,246103.0,0.0
987,987,251707.0,0.0
988,988,247414.0,0.0
989,989,247628.0,0.0
990,990,248369.0,0.0
991,991,250780.0,0.0
992,992,251109.0,0.0
993,993,246380.0,0.0
994,994,248369.0,0.0
995,995,246483.0,0.0
