[2025-03-13 05:53:56,364][__main__][INFO] - Iteration: 46	Episode Reward: 591.83	Moving Avg Reward: 591.59
[2025-03-13 05:53:56,571][__main__][INFO] - Iteration: 47	Episode Reward: 588.82	Moving Avg Reward: 591.21
[2025-03-13 05:53:56,778][__main__][INFO] - Iteration: 48	Episode Reward: 593.37	Moving Avg Reward: 591.29
[2025-03-13 05:53:56,985][__main__][INFO] - Iteration: 49	Episode Reward: 591.79	Moving Avg Reward: 591.58
[2025-03-13 05:53:57,075][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:53:57,281][__main__][INFO] - Iteration: 50	Episode Reward: 592.66	Moving Avg Reward: 591.94
[2025-03-13 05:53:57,488][__main__][INFO] - Iteration: 51	Episode Reward: 588.65	Moving Avg Reward: 591.42
[2025-03-13 05:53:57,696][__main__][INFO] - Iteration: 52	Episode Reward: 592.48	Moving Avg Reward: 591.56
[2025-03-13 05:53:57,903][__main__][INFO] - Iteration: 53	Episode Reward: 592.66	Moving Avg Reward: 591.92
[2025-03-13 05:53:58,110][__main__][INFO] - Iteration: 54	Episode Reward: 588.75	Moving Avg Reward: 591.41
[2025-03-13 05:53:58,202][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:53:58,410][__main__][INFO] - Iteration: 55	Episode Reward: 588.78	Moving Avg Reward: 590.98
[2025-03-13 05:53:58,617][__main__][INFO] - Iteration: 56	Episode Reward: 593.46	Moving Avg Reward: 591.14
[2025-03-13 05:53:58,825][__main__][INFO] - Iteration: 57	Episode Reward: 591.53	Moving Avg Reward: 591.41
[2025-03-13 05:53:59,033][__main__][INFO] - Iteration: 58	Episode Reward: 588.79	Moving Avg Reward: 590.96
[2025-03-13 05:53:59,240][__main__][INFO] - Iteration: 59	Episode Reward: 593.46	Moving Avg Reward: 591.12
[2025-03-13 05:53:59,340][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:53:59,554][__main__][INFO] - Iteration: 60	Episode Reward: 589.86	Moving Avg Reward: 590.84
[2025-03-13 05:53:59,759][__main__][INFO] - Iteration: 61	Episode Reward: 589.75	Moving Avg Reward: 590.95
[2025-03-13 05:53:59,964][__main__][INFO] - Iteration: 62	Episode Reward: 594.29	Moving Avg Reward: 591.13
[2025-03-13 05:54:00,171][__main__][INFO] - Iteration: 63	Episode Reward: 589.85	Moving Avg Reward: 590.85
[2025-03-13 05:54:00,378][__main__][INFO] - Iteration: 64	Episode Reward: 589.86	Moving Avg Reward: 590.96
[2025-03-13 05:54:00,471][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:00,679][__main__][INFO] - Iteration: 65	Episode Reward: 591.83	Moving Avg Reward: 591.27
[2025-03-13 05:54:00,886][__main__][INFO] - Iteration: 66	Episode Reward: 593.14	Moving Avg Reward: 591.24
[2025-03-13 05:54:01,093][__main__][INFO] - Iteration: 67	Episode Reward: 588.82	Moving Avg Reward: 590.97
[2025-03-13 05:54:01,300][__main__][INFO] - Iteration: 68	Episode Reward: 591.81	Moving Avg Reward: 591.27
[2025-03-13 05:54:01,507][__main__][INFO] - Iteration: 69	Episode Reward: 593.40	Moving Avg Reward: 591.26
[2025-03-13 05:54:01,603][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:01,810][__main__][INFO] - Iteration: 70	Episode Reward: 590.45	Moving Avg Reward: 591.32
[2025-03-13 05:54:02,017][__main__][INFO] - Iteration: 71	Episode Reward: 589.04	Moving Avg Reward: 591.25
[2025-03-13 05:54:02,225][__main__][INFO] - Iteration: 72	Episode Reward: 594.29	Moving Avg Reward: 591.25
[2025-03-13 05:54:02,431][__main__][INFO] - Iteration: 73	Episode Reward: 590.44	Moving Avg Reward: 591.31
[2025-03-13 05:54:02,638][__main__][INFO] - Iteration: 74	Episode Reward: 589.30	Moving Avg Reward: 591.25
[2025-03-13 05:54:02,736][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:03,017][__main__][INFO] - Iteration: 75	Episode Reward: 594.14	Moving Avg Reward: 591.48
[2025-03-13 05:54:03,222][__main__][INFO] - Iteration: 76	Episode Reward: 592.59	Moving Avg Reward: 591.43
[2025-03-13 05:54:03,429][__main__][INFO] - Iteration: 77	Episode Reward: 588.82	Moving Avg Reward: 591.43
[2025-03-13 05:54:03,635][__main__][INFO] - Iteration: 78	Episode Reward: 592.48	Moving Avg Reward: 591.50
[2025-03-13 05:54:03,842][__main__][INFO] - Iteration: 79	Episode Reward: 592.48	Moving Avg Reward: 591.40
[2025-03-13 05:54:03,938][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:04,144][__main__][INFO] - Iteration: 80	Episode Reward: 589.30	Moving Avg Reward: 591.29
[2025-03-13 05:54:04,351][__main__][INFO] - Iteration: 81	Episode Reward: 590.44	Moving Avg Reward: 591.43
[2025-03-13 05:54:04,557][__main__][INFO] - Iteration: 82	Episode Reward: 594.29	Moving Avg Reward: 591.43
[2025-03-13 05:54:04,763][__main__][INFO] - Iteration: 83	Episode Reward: 589.04	Moving Avg Reward: 591.29
[2025-03-13 05:54:04,969][__main__][INFO] - Iteration: 84	Episode Reward: 590.45	Moving Avg Reward: 591.40
[2025-03-13 05:54:05,064][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:05,273][__main__][INFO] - Iteration: 85	Episode Reward: 594.20	Moving Avg Reward: 591.41
[2025-03-13 05:54:05,479][__main__][INFO] - Iteration: 86	Episode Reward: 590.48	Moving Avg Reward: 591.20
[2025-03-13 05:54:05,686][__main__][INFO] - Iteration: 87	Episode Reward: 589.34	Moving Avg Reward: 591.25
[2025-03-13 05:54:05,893][__main__][INFO] - Iteration: 88	Episode Reward: 593.97	Moving Avg Reward: 591.40
[2025-03-13 05:54:06,100][__main__][INFO] - Iteration: 89	Episode Reward: 590.48	Moving Avg Reward: 591.20
[2025-03-13 05:54:06,198][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:06,406][__main__][INFO] - Iteration: 90	Episode Reward: 589.07	Moving Avg Reward: 591.18
[2025-03-13 05:54:06,613][__main__][INFO] - Iteration: 91	Episode Reward: 593.86	Moving Avg Reward: 591.52
[2025-03-13 05:54:06,819][__main__][INFO] - Iteration: 92	Episode Reward: 590.85	Moving Avg Reward: 591.17
[2025-03-13 05:54:07,025][__main__][INFO] - Iteration: 93	Episode Reward: 589.08	Moving Avg Reward: 591.18
[2025-03-13 05:54:07,232][__main__][INFO] - Iteration: 94	Episode Reward: 593.85	Moving Avg Reward: 591.52
[2025-03-13 05:54:07,332][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:07,541][__main__][INFO] - Iteration: 95	Episode Reward: 589.75	Moving Avg Reward: 591.07
[2025-03-13 05:54:07,748][__main__][INFO] - Iteration: 96	Episode Reward: 589.75	Moving Avg Reward: 591.00
[2025-03-13 05:54:07,955][__main__][INFO] - Iteration: 97	Episode Reward: 594.29	Moving Avg Reward: 591.50
[2025-03-13 05:54:08,163][__main__][INFO] - Iteration: 98	Episode Reward: 589.85	Moving Avg Reward: 591.08
[2025-03-13 05:54:08,370][__main__][INFO] - Iteration: 99	Episode Reward: 589.86	Moving Avg Reward: 591.02
[2025-03-13 05:54:08,469][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:08,679][__main__][INFO] - Iteration: 100	Episode Reward: 593.86	Moving Avg Reward: 591.50
[2025-03-13 05:54:08,886][__main__][INFO] - Iteration: 101	Episode Reward: 589.07	Moving Avg Reward: 591.02
[2025-03-13 05:54:09,093][__main__][INFO] - Iteration: 102	Episode Reward: 591.09	Moving Avg Reward: 591.05
[2025-03-13 05:54:09,301][__main__][INFO] - Iteration: 103	Episode Reward: 593.80	Moving Avg Reward: 591.52
[2025-03-13 05:54:09,508][__main__][INFO] - Iteration: 104	Episode Reward: 589.07	Moving Avg Reward: 591.04
[2025-03-13 05:54:09,599][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:09,806][__main__][INFO] - Iteration: 105	Episode Reward: 588.77	Moving Avg Reward: 590.94
[2025-03-13 05:54:10,014][__main__][INFO] - Iteration: 106	Episode Reward: 591.15	Moving Avg Reward: 591.08
[2025-03-13 05:54:10,220][__main__][INFO] - Iteration: 107	Episode Reward: 593.85	Moving Avg Reward: 591.04
[2025-03-13 05:54:10,427][__main__][INFO] - Iteration: 108	Episode Reward: 589.01	Moving Avg Reward: 590.95
[2025-03-13 05:54:10,635][__main__][INFO] - Iteration: 109	Episode Reward: 591.09	Moving Avg Reward: 591.08
[2025-03-13 05:54:10,736][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:10,944][__main__][INFO] - Iteration: 110	Episode Reward: 592.66	Moving Avg Reward: 590.96
[2025-03-13 05:54:11,151][__main__][INFO] - Iteration: 111	Episode Reward: 588.75	Moving Avg Reward: 590.92
[2025-03-13 05:54:11,358][__main__][INFO] - Iteration: 112	Episode Reward: 592.60	Moving Avg Reward: 591.08
[2025-03-13 05:54:11,565][__main__][INFO] - Iteration: 113	Episode Reward: 592.59	Moving Avg Reward: 590.95
