,train_step,reward_mean,reward_std
0,0,-0.006430371198803186,0.0
1,1,-0.006437964271754026,0.0
2,2,-0.006443009711802006,0.0
3,3,-0.006447135005146265,0.0
4,4,-0.0064495340920984745,0.0
5,5,-0.006450468208640814,0.0
6,6,-0.006450104992836714,0.0
7,7,-0.006449105683714151,0.0
8,8,-0.006449480075389147,0.0
9,9,-0.006447870749980211,0.0
10,10,-0.006447621621191502,0.0
11,11,-0.006447564344853163,0.0
12,12,-0.006447156425565481,0.0
13,13,-0.006448121275752783,0.0
14,14,-0.0064491163939237595,0.0
15,15,-0.006449955981224775,0.0
16,16,-0.006450726184993982,0.0
17,17,-0.0064504691399633884,0.0
18,18,-0.006451017688959837,0.0
19,19,-0.006450947839766741,0.0
