,train_step,reward_mean,reward_std
0,0,1.5097877946108477e+20,0.0
1,1,1.502357910756849e+20,0.0
2,2,1.513321361099729e+20,0.0
3,3,1.4955305592748717e+20,0.0
4,4,1.5025308419456657e+20,0.0
5,5,1.501973697413639e+20,0.0
6,6,1.506473954525661e+20,0.0
7,7,1.5021631652573374e+20,0.0
8,8,1.504459121457994e+20,0.0
9,9,1.5146986533451465e+20,0.0
10,10,1.5095868918462205e+20,0.0
11,11,1.511001831369773e+20,0.0
12,12,1.5043563830914947e+20,0.0
13,13,1.5055357632439124e+20,0.0
14,14,1.5106499876488846e+20,0.0
15,15,1.5092492977960282e+20,0.0
16,16,1.510015261576402e+20,0.0
17,17,1.5039232634710812e+20,0.0
18,18,1.5055769289592563e+20,0.0
19,19,1.51313154141231e+20,0.0
20,20,1.511289463611599e+20,0.0
21,21,1.5019916414434043e+20,0.0
22,22,1.509793072266661e+20,0.0
23,23,1.5065510083005356e+20,0.0
24,24,1.5089305273849034e+20,0.0
25,25,1.505211187411393e+20,0.0
26,26,1.508364058994273e+20,0.0
27,27,1.4963598549250055e+20,0.0
28,28,1.5063636515191626e+20,0.0
29,29,1.512154119555682e+20,0.0
30,30,1.4998399411683118e+20,0.0
31,31,1.5096505755597013e+20,0.0
32,32,1.515981299629645e+20,0.0
33,33,1.5019846045689866e+20,0.0
34,34,1.5020328071587483e+20,0.0
35,35,1.501348647043481e+20,0.0
36,36,1.50887370462398e+20,0.0
37,37,1.5027957802674946e+20,0.0
38,38,1.5030754960256008e+20,0.0
39,39,1.512774771879329e+20,0.0
40,40,1.5086295250816834e+20,0.0
41,41,1.5017161478099488e+20,0.0
42,42,1.5114389971929766e+20,0.0
43,43,1.5061092685089604e+20,0.0
44,44,1.5035958728887946e+20,0.0
45,45,1.5065272588493757e+20,0.0
46,46,1.5016558066118164e+20,0.0
47,47,1.497669065410431e+20,0.0
48,48,1.529910616617753e+20,0.0
49,49,1.5044258722263702e+20,0.0
50,50,1.4981359620280497e+20,0.0
51,51,1.5165891096574794e+20,0.0
52,52,1.5075525314520442e+20,0.0
53,53,1.5028202334060963e+20,0.0
54,54,1.5070896810372157e+20,0.0
55,55,1.510952397326988e+20,0.0
56,56,1.5053265921518443e+20,0.0
57,57,1.5015068007960202e+20,0.0
58,58,1.514057242241967e+20,0.0
59,59,1.503665713867391e+20,0.0
60,60,1.5065833779228574e+20,0.0
61,61,1.505650816140643e+20,0.0
62,62,1.522486538185149e+20,0.0
63,63,1.4929328970835532e+20,0.0
64,64,1.498747642336814e+20,0.0
65,65,1.5132893433211283e+20,0.0
66,66,1.506973748531183e+20,0.0
67,67,1.4969525356728418e+20,0.0
68,68,1.499033163516315e+20,0.0
69,69,1.5053647671955607e+20,0.0
70,70,1.5119549760096594e+20,0.0
71,71,1.5040124558543264e+20,0.0
72,72,1.5029486563642206e+20,0.0
73,73,1.5015900118360103e+20,0.0
74,74,1.5019949839587528e+20,0.0
75,75,1.5177547679047824e+20,0.0
76,76,1.5124778157788994e+20,0.0
77,77,1.5007000231440233e+20,0.0
78,78,1.5015425129336904e+20,0.0
79,79,1.4990829494028206e+20,0.0
80,80,1.5133817022978615e+20,0.0
81,81,1.5078464968808464e+20,0.0
82,82,1.5051024677016384e+20,0.0
83,83,1.4883832059287464e+20,0.0
84,84,1.511702176296201e+20,0.0
85,85,1.5076139281813393e+20,0.0
86,86,1.5080945467040727e+20,0.0
87,87,1.5067906138744606e+20,0.0
88,88,1.5152674087199624e+20,0.0
89,89,1.5056370942355282e+20,0.0
90,90,1.513210354405789e+20,0.0
91,91,1.501534068684389e+20,0.0
92,92,1.5085922296472692e+20,0.0
93,93,1.5082933384063746e+20,0.0
94,94,1.51027193157079e+20,0.0
95,95,1.5097995813754975e+20,0.0
96,96,1.5033297031139426e+20,0.0
97,97,1.50555071660205e+20,0.0
98,98,1.5121432124003346e+20,0.0
99,99,1.505539985368563e+20,0.0
100,100,1.510020363310355e+20,0.0
101,101,1.5068627418372427e+20,0.0
102,102,1.5067761882819042e+20,0.0
103,103,1.510599498074937e+20,0.0
104,104,1.5026395616554202e+20,0.0
105,105,1.5153873874287854e+20,0.0
106,106,1.506872417539567e+20,0.0
107,107,1.5125379810551713e+20,0.0
108,108,1.5030586075269982e+20,0.0
109,109,1.506888602350728e+20,0.0
110,110,1.507212650417666e+20,0.0
111,111,1.5074151364790374e+20,0.0
112,112,1.5069980257479243e+20,0.0
113,113,1.5009848406360824e+20,0.0
114,114,1.5026993750879712e+20,0.0
115,115,1.5131127177732424e+20,0.0
116,116,1.5096324556080756e+20,0.0
117,117,1.503308064725108e+20,0.0
118,118,1.499769924267855e+20,0.0
119,119,1.5086763202965615e+20,0.0
120,120,1.510645061836792e+20,0.0
121,121,1.511969049758495e+20,0.0
122,122,1.5120109191612806e+20,0.0
123,123,1.510283014647998e+20,0.0
124,124,1.5013861183997556e+20,0.0
125,125,1.506211655031739e+20,0.0
126,126,1.5091104954481377e+20,0.0
127,127,1.5097863872359642e+20,0.0
128,128,1.5050922642337327e+20,0.0
129,129,1.5058759961220114e+20,0.0
130,130,1.5073458232660224e+20,0.0
131,131,1.505228251831856e+20,0.0
132,132,1.510973332028381e+20,0.0
133,133,1.5096431868415626e+20,0.0
134,134,1.5072780933497514e+20,0.0
135,135,1.5149094077339586e+20,0.0
136,136,1.5073679894204383e+20,0.0
137,137,1.5057057037611015e+20,0.0
