[2025-03-13 07:12:20,817][__main__][INFO] - Determined number of UEs: 2
[2025-03-13 07:12:21,186][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,188][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,188][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,189][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,190][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,191][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,192][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,193][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,194][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,195][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,196][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,197][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,199][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,199][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,201][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,202][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,203][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,204][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,205][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,206][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,207][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,208][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,209][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,210][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,211][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,212][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,213][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,214][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,215][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,216][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,217][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,218][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,219][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,220][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,221][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,222][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,223][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,224][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,225][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,226][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,228][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,229][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,230][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,231][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,232][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,233][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,234][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,235][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,236][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,237][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,238][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,239][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,240][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,241][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,242][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,243][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,244][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,245][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,246][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,247][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,248][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,249][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,250][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,251][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,252][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,253][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,254][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,256][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,257][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,258][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,259][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,260][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,261][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,262][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,263][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,264][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,265][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,266][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,268][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,268][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,269][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,270][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,271][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,272][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,273][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,274][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,275][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,276][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,277][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,278][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,280][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,280][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,282][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,283][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,284][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,285][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,286][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,287][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,288][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,289][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,290][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,291][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,292][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,293][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,294][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,295][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,296][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,297][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,298][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,299][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,300][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,301][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,302][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,303][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,304][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,305][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,306][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,307][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,308][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,309][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,310][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,311][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,312][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,314][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,315][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,316][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,317][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,318][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,319][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,320][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,321][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,322][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,323][__main__][INFO] - Computed throughput reward (raw): 1.00
[2025-03-13 07:12:21,324][__main__][INFO] - Computed throughput reward (raw): 1.00
